"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"0","741335277239717889","3rd Stop: Quick car wash. (@ Shell Car Wash in San Francisco, CA) https://t.co/5jZIO4sCDL https://t.co/ysXw51AMaL","Fri Jun 10 18:24:38 +0000 2016","37.74058663","-122.42344076","San Francisco, CA","3rd stop quick car wash shell car wash san francisco ca http tco5jzio4scdl http tcoysxw51amal"
"1","741335921262370816","Car Fire: Hwy 99 S at Sutterville Rd offramp, South Sac","Fri Jun 10 18:27:11 +0000 2016","38.544779","-121.47398","Sacramento, CA","car fire hwy 99 s sutterville rd offramp south sac"
"2","741335961276055552","I am w/o car so skipping the office today and working remotely from @Nola_Cherry with a lovely cup of #coffee #latte https://t.co/mdKiOJcndX","Fri Jun 10 18:27:21 +0000 2016","29.9184","-90.108","New Orleans, LA","i wo car skipping office today working remotely nolacherry lovely cup coffee latte http tcomdkiojcndx"
"6","741337182586052608","FOX4News:Multiple shots fired outside LOVEFIELD baggage claim. Witnesses say big rocks thrown like one on car hood https://t.co/9Gnj3qdu87","Fri Jun 10 18:32:12 +0000 2016","32.79755357","-96.77401775","Dallas, TX","fox4news multiple shot fired outside lovefield baggage claim witnesses say big rock thrown like one car hood http tco9gnj3qdu87"
"7","741337419945906176","FOX4News:Multiple shots fired outside LOVEFIELD baggage claim. Witnesses say big rocks thrown like one on car hood https://t.co/V2SVhO1jzG","Fri Jun 10 18:33:08 +0000 2016","30.26960519","-97.74361687","Austin, TX","fox4news multiple shot fired outside lovefield baggage claim witnesses say big rock thrown like one car hood http tcov2svho1jzg"
"9","741338761557123073","I should trade my car in this weekend.","Fri Jun 10 18:38:28 +0000 2016","26.2062002","-80.11021153","Fort Lauderdale, FL","i trade car weekend"
"10","741338875025559552","I don't like where I had to park my car. (@ Neal's Barber Shop in Everett, WA) https://t.co/CNp6gncWJz","Fri Jun 10 18:38:55 +0000 2016","47.97815312","-122.2085424","Everett, WA","i nt like i park car neal s barber shop everett wa http tcocnp6gncwjz"
"12","741339253527941120","Someone ran their car straight through the front door of Elmer Sudds! #Crazy @ Elmer Sudds https://t.co/Ns99oQgRCe","Fri Jun 10 18:40:26 +0000 2016","41.2338499","-75.8742","Wilkes-Barre, PA","someone ran car straight front door elmer sudds crazy elmer sudds http tcons99oqgrce"
"14","741340066577014784","#Classoc #Car #Route66 #Arizona @ Williams Arizona Route 66 https://t.co/OtYF80NlJE","Fri Jun 10 18:43:39 +0000 2016","35.25084537","-112.18769658","Williams, AZ","classoc car route66 arizona williams arizona route 66 http tcootyf80nlje"
"15","741340311830581249","They have lights (@ National Car Rental - @nationalpro in Houston, TX) https://t.co/bvZeX7Pl0K","Fri Jun 10 18:44:38 +0000 2016","29.96956484","-95.33208132","Houston, TX","they light national car rental nationalpro houston tx http tcobvzex7pl0k"
"18","741340885414203392","From the front. #classic #car #automobile #Route66 #Arizona @ Williams Arizona Route 66 https://t.co/FQPbslPC79","Fri Jun 10 18:46:55 +0000 2016","35.25084537","-112.18769658","Williams, AZ","from front classic car automobile route66 arizona williams arizona route 66 http tcofqpbslpc79"
"19","741341721271926784","Helping a friend move. (@ U-Save Car &amp; Truck Rental - @usaverental in Ames, IA) https://t.co/zY26blWc9p","Fri Jun 10 18:50:14 +0000 2016","42.01542543","-93.6106265","Ames, IA","helping friend move usave car amp truck rental usaverental ames ia http tcozy26blwc9p"
