"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"0","741538295482617856","Picture of an emerald hummingbird in flight, Costa Rican highlands https://t.co/btWtIz1Qz8","Sat Jun 11 07:51:21 +0000 2016","37.69945331","-123.0120263","California, USA","picture emerald hummingbird flight costa rican highland http tcobtwtiz1qz8"
"1","741545766280265728","#AUS #SFO Austin Texas -&gt; San Francisco $159 https://t.co/bY9u7cLWJ5","Sat Jun 11 08:21:02 +0000 2016","30.1944","-97.67","Austin, TX","aus sfo austin texas gt san francisco 159 http tcoby9u7clwj5"
"2","741560611327250432","#LAS #LAX Las Vegas -&gt; Los Angeles $159 https://t.co/RfH5altL7U","Sat Jun 11 09:20:01 +0000 2016","36.08","-115.1522","Paradise, NV","las lax las vegas gt los angeles 159 http tcorfh5altl7u"
"3","741560864059183104","#IAD #SFO Washington Dulles -&gt; San Francisco $89 https://t.co/D3sAx110Tr","Sat Jun 11 09:21:02 +0000 2016","38.9444","-77.4558","Virginia, USA","iad sfo washington dulles gt san francisco 89 http tcod3sax110tr"
"4","741561116753461248","#DAL #SFO Dallas Love Field -&gt; San Francisco $129 https://t.co/NX5NFCHdJW","Sat Jun 11 09:22:02 +0000 2016","32.8472","-96.8517","Dallas, TX","dal sfo dallas love field gt san francisco 129 http tconx5nfchdjw"
"5","741571697636192257","Up to 50% Off Frio Bat Flight https://t.co/pmg5oq3L4X","Sat Jun 11 10:04:05 +0000 2016","29.4452","-99.6649","Texas, USA","up 50 off frio bat flight http tcopmg5oq3l4x"
"7","741610670542757889","My flight music #kellyprice #realmusic #imjamming @ Dallas Fort Worth International Airport https://t.co/pjacFA0JHk","Sat Jun 11 12:38:56 +0000 2016","32.89843204","-97.03915823","Grapevine, TX","my flight music kellyprice realmusic imjamming dallas fort worth international airport http tcopjacfa0jhk"
"12","741617791518806016","Hoping for a uneventful flight with @americanair ! #travel #clt (@ Charlotte Douglas International Airport) https://t.co/R9D4CzvYfI","Sat Jun 11 13:07:14 +0000 2016","35.2189125","-80.94415716","Charlotte, NC","hoping uneventful flight americanair travel clt charlotte douglas international airport http tcor9d4czvyfi"
"15","741619785570648064","Photo: Shot of a plane tail while in flight https://t.co/xBFNxPBQj6","Sat Jun 11 13:15:10 +0000 2016","37.69910409","-123.01160584","California, USA","photo shot plane tail flight http tcoxbfnxpbqj6"
"17","741621010223357952","#DCA #SFO Washington DC/DCA -&gt; San Francisco $239 https://t.co/ZM8W0wgZLe","Sat Jun 11 13:20:02 +0000 2016","38.8522","-77.0378","Arlington, VA","dca sfo washington dcdca gt san francisco 239 http tcozm8w0wgzle"
"18","741621263206998016","#JFK #LAS New York JFK -&gt; Las Vegas $219 https://t.co/XGSQ8h6dVu","Sat Jun 11 13:21:02 +0000 2016","40.6397","-73.7789","Queens, NY","jfk las new york jfk gt las vegas 219 http tcoxgsq8h6dvu"
"19","741621516421337088","#JFK #LAX New York JFK -&gt; Los Angeles $189 https://t.co/XGSQ8h6dVu","Sat Jun 11 13:22:02 +0000 2016","40.6397","-73.7789","Queens, NY","jfk lax new york jfk gt los angeles 189 http tcoxgsq8h6dvu"
"20","741621769165897728","#JFK #SFO New York JFK -&gt; San Francisco $209 https://t.co/XGSQ8h6dVu","Sat Jun 11 13:23:03 +0000 2016","40.6397","-73.7789","Queens, NY","jfk sfo new york jfk gt san francisco 209 http tcoxgsq8h6dvu"
"21","741623799339159552","shit.... @ First Flight High School https://t.co/lXsMJVoPBX","Sat Jun 11 13:31:07 +0000 2016","36.009343","-75.665567","Kill Devil Hills, NC","shit first flight high school http tcolxsmjvopbx"
"25","741629281797709824","Woke up craving sugary cereal, salad, and sushi .. My period must be boarding a flight to harass me","Sat Jun 11 13:52:54 +0000 2016","25.983636","-80.245655","Miramar, FL","woke craving sugary cereal salad sushi my period must boarding flight harass"
"29","741636783474151424","Damn this was an annoying flight (@ Indianapolis International Airport - @indairport in Indianapolis, IN) https://t.co/fOg8m7bhBg","Sat Jun 11 14:22:42 +0000 2016","39.71517597","-86.29765034","Indianapolis, IN","damn wa annoying flight indianapolis international airport indairport indianapolis in http tcofog8m7bhbg"
"30","741639982922772480","#flight93memorial @ Flight 93 National Memorial https://t.co/7xs6c1LUIP","Sat Jun 11 14:35:25 +0000 2016","40.0785118","-78.8795048","Pennsylvania, USA","flight93memorial flight 93 national memorial http tco7xs6c1luip"
"31","741641688091754496","We're #hiring! Read about our latest #job opening here: Flight Nurse - 24 - https://t.co/g8UNMMZJUX #Joplin, MO #Aerospace #CareerArc","Sat Jun 11 14:42:12 +0000 2016","37.0842271","-94.513281","Joplin, MO","we re hiring read latest job opening flight nurse 24 http tcog8unmmzjux joplin mo aerospace careerarc"
"32","741643155695603712","Lincoln Co. Honor Flight Ride! (@ S&amp;S in Chapin, SC) https://t.co/cQryGoDmSD","Sat Jun 11 14:48:02 +0000 2016","34.16402883","-81.34631241","Chapin, SC","lincoln co honor flight ride s amp s chapin sc http tcocqrygodmsd"
"33","741650068185448448","Checked in so early for our flight home (@ San Francisco International Airport in San Francisco, CA) https://t.co/nLy4ztTYMI","Sat Jun 11 15:15:30 +0000 2016","37.61628808","-122.38610744","California, USA","checked early flight home san francisco international airport san francisco ca http tconly4zttymi"
"34","741650954953445377","#JFK #LAS New York JFK -&gt; Las Vegas $187 https://t.co/XGSQ8h6dVu","Sat Jun 11 15:19:01 +0000 2016","40.6397","-73.7789","Queens, NY","jfk las new york jfk gt las vegas 187 http tcoxgsq8h6dvu"
"36","741653779766906881","#NYCmissed united flight to Dublin 6/2 - m4m (Sky) https://t.co/sCElVbPGtW","Sat Jun 11 15:30:15 +0000 2016","40.71098913","-74.00404355","Manhattan, NY","nycmissed united flight dublin 62 m4m sky http tcoscelvbpgtw"
"37","741653963519479808","Freedom riders escorting honar flight veterans this morning @ God's Pantry of SC https://t.co/sDYf4QAimT","Sat Jun 11 15:30:58 +0000 2016","34.6831398","-82.1970901","Fountain Inn, SC","freedom rider escorting honar flight veteran morning god s pantry sc http tcosdyf4qaimt"
"40","741655661839327232","When i tell you, that was the absolute WORST flight of my LIFE","Sat Jun 11 15:37:43 +0000 2016","40.6880584","-74.1833999","Newark Liberty International Airport (EWR)","when tell wa absolute worst flight life"
"45","741681409631215619","#JFK #IAD New York JFK -&gt; Washington Dulles $86 https://t.co/XGSQ8h6dVu","Sat Jun 11 17:20:02 +0000 2016","40.6397","-73.7789","Queens, NY","jfk iad new york jfk gt washington dulles 86 http tcoxgsq8h6dvu"
"46","741683129304260610","Can you recommend anyone for this #job? RN - Life Flight (Full-time, Night shift) - https://t.co/mN3gdzkQPT #Miami, FL #Nursing #Hiring","Sat Jun 11 17:26:52 +0000 2016","25.7412344","-80.2945017","Coral Terrace, FL","can recommend anyone job rn life flight fulltime night shift http tcomn3gdzkqpt miami fl nursing hiring"
"50","741684834867814400","It's time for a flight of beer (@ Boulder Beer Tap House in Denver, CO) https://t.co/PodogGejYC https://t.co/idrGE6Trgy","Sat Jun 11 17:33:39 +0000 2016","39.84875971","-104.67374273","Colorado, USA","it s time flight beer boulder beer tap house denver co http tcopodoggejyc http tcoidrge6trgy"
"52","741685673128787968","Trying a new brewery out. 1st of the flight - Drinking an Ethereal Wheat at @devilscreekbeer - https://t.co/PZuU3nTfu5 #photo","Sat Jun 11 17:36:58 +0000 2016","39.9169","-75.0714","Collingswood, NJ","trying new brewery 1st flight drinking ethereal wheat devilscreekbeer http tcopzuu3ntfu5 photo"
